Author,Title,Year of publication,,Country of study,Native or invasive,Days collected,Number collected,One day collection,Density per day,Mosquito stage reclassification,Biting indoor or outdoor,Resting indoor or outdoor,Breeding site,Condensed breeding site,Collection_method,Condensed collection method,Method,Origin
"Tadesse, F. G.; Ashine, T.; Teka, H.; Esayas, E.; Messenger, L. A.; Chali, W.; Meerstein-Kessel, L.; Walker, T.; Wolde Behaksra, S.; Lanke, K.; Heutink, R.; Jeffries, C. L.; Mekonnen, D. A.; Hailemeskel, E.; Tebeje, S. K.; Tafesse, T.; Gashaw, A.; Tsegaye, T.; Emiru, T.; Simon, K.; Bogale, E. A.; Yohannes, G.; Kedir, S.; Shumie, G.; Sabir, S. A.; Mumba, P.; Dengela, D.; Kolaczinski, J. H.; Wilson, A.; Churcher, T. S.; Chibsa, S.; Murphy, M.; Balkew, M.; Irish, S.; Drakeley, C.; Gadisa, E.; Bousema, T.","Anopheles stephensi Mosquitoes as Vectors of Plasmodium vivax and falciparum, Horn of Africa, 2024",2021,,Ethiopia,Invasive,130,15,0.115384615,0.000135747,Larvae,,,Cement tanks,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Thomas, S.; Ravishankaran, S.; Justin, Naja; Asokan, A.; Mathai, M. T.; Valecha, N.; Montgomery, J.; Thomas, M. B.; Eapen, A.","Resting and feeding preferences of Anopheles stephensi in an urban setting, perennial for malaria",2017,,India,Native,313,743,2.373801917,,Adult,Outdoor,Outdoor,,,Cattle baited,Host seeking animal baited trap,b,n
"Thomas, S.; Ravishankaran, S.; Justin, Naja; Asokan, A.; Mathai, M. T.; Valecha, N.; Montgomery, J.; Thomas, M. B.; Eapen, A.","Resting and feeding preferences of Anopheles stephensi in an urban setting, perennial for malaria",2017,,India,Native,313,52,0.166134185,,Adult,Indoor,Indoor,,,Human baited trap,Host seeking human baited trap,b,n
"Tyagi, B. K.; Yadav, S. P.","Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India)",2001,,India,Native,30,865,28.83333333,,Adult,Indoor,Indoor,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"Tyagi, B. K.; Yadav, S. P.","Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India)",2001,,India,Native,30,788,26.26666667,,Adult,Outdoor,Indoor,,,Aspiration,Aspiration targeting resting mosquitoes,r,n
"Tyagi, B. K.; Yadav, S. P.","Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India)",2001,,India,Native,30,151,5.03,,Adult,Indoor,,,,Human baited trap,Host seeking human baited trap,b,n
"Tyagi, B. K.; Yadav, S. P.","Bionomics of malaria vectors in two physiographically different areas of the epidemic-prone Thar Desert, north-western Rajasthan (India)",2001,,India,Native,30,138,4.6,,Adult,Outdoor,,,,Cattle baited,Host seeking animal baited trap,b,n
"Yared, S.; Gebressielasie, A.; Damodaran, L.; Bonnell, V.; Lopez, K.; Janies, D.; Carter, T. E.","Insecticide resistance in Anopheles stephensi in Somali Region, eastern Ethiopia",2020,,Ethiopia,Invasive,44,1200,27.27272727,0.38961039,Larvae,,,Birkas,Drinking water reservoirs,Dipping,Aquatic larval collection,,i
"Yeryan, M.; Basseri, H. R.; Hanafi-Bojd, A. A.; Raeisi, A.; Edalat, H.; Safari, R","Bio-ecology of malaria vectors in an endemic area, Southeast of Iran",2016,,Iran,Native,313,1443,4.610223642,,Adult,Indoor,Indoor,,,Pyrethrum spray catch ,Pyrethrum spray catch ,r,n
"Yeryan, M.; Basseri, H. R.; Hanafi-Bojd, A. A.; Raeisi, A.; Edalat, H.; Safari, R","Bio-ecology of malaria vectors in an endemic area, Southeast of Iran",2016,,Iran,Native,313,58,0.185303514,,Adult,Outdoor,,,,Hand catch,Aspiration targeting resting mosquitoes,r,n
"Yeryan, M.; Basseri, H. R.; Hanafi-Bojd, A. A.; Raeisi, A.; Edalat, H.; Safari, R","Bio-ecology of malaria vectors in an endemic area, Southeast of Iran",2016,,Iran,Native,313,63,0.201277955,,Adult,Indoor,Outdoor,,,Window exit trap,Passive trap,r,n
"Yeryan, M.; Basseri, H. R.; Hanafi-Bojd, A. A.; Raeisi, A.; Edalat, H.; Safari, R","Bio-ecology of malaria vectors in an endemic area, Southeast of Iran",2016,,Iran,Native,313,19,0.060702875,,Adult,Outdoor,Indoor,,,Entrance trap,Passive trap,r,n
"Yeryan, M.; Basseri, H. R.; Hanafi-Bojd, A. A.; Raeisi, A.; Edalat, H.; Safari, R","Bio-ecology of malaria vectors in an endemic area, Southeast of Iran",2016,,Iran,Native,260,1796,6.907692308,,Larvae,,,,,Dipping,Aquatic larval collection,,n
"Ghosh, A., Mandal, S. and CHANDRA, G., 2010. ","Seasonal distribution, parity, resting, host?seeking behavior and association of malarial parasites of Anopheles stephensi Liston in Kolkata, West Bengal.�Entomological Research,�40(1), pp.46-54.",2010,,India,Native,261,59,0.22605364,,Adult,,Indoor,,,Hand collection,Aspiration targeting resting mosquitoes,r,n
"Ghosh, A., Mandal, S. and CHANDRA, G., 2010. ","Seasonal distribution, parity, resting, host?seeking behavior and association of malarial parasites of Anopheles stephensi Liston in Kolkata, West Bengal.�Entomological Research,�40(1), pp.46-54.",2010,,India,Native,24,23,0.958333333,,Adult,Indoor,,,,Human landing catch,Host seeking human baited trap,b,n
"Ghosh, A., Mandal, S. and CHANDRA, G., 2010. ","Seasonal distribution, parity, resting, host?seeking behavior and association of malarial parasites of Anopheles stephensi Liston in Kolkata, West Bengal.�Entomological Research,�40(1), pp.46-54.",2010,,India,Native,24,11,0.458333333,,Adult,Outdoor,,,,Human landing catch,Host seeking human baited trap,b,n
"Reisen, W.K. and Aslamkhan, M., 1979."," A release�recapture experiment with the malaria vector, Anopheles stephensi Liston, with observations on dispersal, survivorship, population size, gonotrophic rhythm and mating behaviour.�Annals of Tropical Medicine & Parasitology,�73(3), pp.251-269.",1979,,Pakistan,Native,15,2468,164.5333333,,Adult,,Indoor,,,Mouth aspirator,Aspiration targeting resting mosquitoes,r,n
"Reisen, W.K. and Aslamkhan, M., 1979."," A release�recapture experiment with the malaria vector, Anopheles stephensi Liston, with observations on dispersal, survivorship, population size, gonotrophic rhythm and mating behaviour.�Annals of Tropical Medicine & Parasitology,�73(3), pp.251-269.",1979,,Pakistan,Native,15,202,13.46666667,,Adult,Outdoor,,,,Animal baited trap,Host seeking animal baited trap,b,n
"Tananchai, C., Pattanakul, M., Nararak, J., Sinou, V., Manguin, S. and Chareonviriyaphap, T., 2019."," Diversity and biting patterns of Anopheles species in a malaria endemic area, Umphang Valley, Tak Province, western Thailand.�Acta tropica,�190, pp.183-192.",2019,,Thailand,Native,55,1,0.018181818,,Adult,Indoor,,,,Human landing catch,Host seeking human baited trap,b,n
"Shahandeh, K.H., Basseri, H.R., Pakari, A. and Riazi, A., 2010."," Mosquito vector biting and community protection in a malarious area, siahoo district, hormozgan, iran.�Iranian Journal of Arthropod-borne Diseases,�4(2), p.35.",2010,,Iran,Native,1,4.1,4.1,,Adult,,,,,Human landing catch,Host seeking human baited trap,b,n
"Reisen, W.K. and Boreham, P.F., 1982."," Estimates of malaria vectorial capacity for Anopheles culicifacies and Anopheles stephensi in rural Punjab Province, Pakistan.�Journal of Medical Entomology,�19(1), pp.98-103.",1982,,Pakistan,Native,155,4,0.0258,,Adult,Indoor,,,,Human landing catch,Host seeking human baited trap,b,n
"Reisen, W.K. and Boreham, P.F., 1982."," Estimates of malaria vectorial capacity for Anopheles culicifacies and Anopheles stephensi in rural Punjab Province, Pakistan.�Journal of Medical Entomology,�19(1), pp.98-103.",1983,,Pakistan,Native,155,421,2.72,,Adult,Indoor,,,,Bovid landing,Host seeking animal baited trap,b,n
